Current4,Current5,Current6,AvailWater,History2,Current3,Soil3,History3,Site,Abaeis_nicippe,Agapostemon_texanus,Agapostemon_texanus/angelicus,Anagrapha_falciera,Andrena_macra,Andrena_melliventris,Andrena_rudbeckiae,Anthidiellum_gilense,Anthophora_californica,Anthophorula_completa,Asterocampa_celtis,Asterocampa_clyton,Atalopedes_campestris,Augochloropsis_metallica,Bombus_fraternus,Bombus_griseocollis,Bombus_pensylvanicus,Callophrys_gryneus,Centris_atripes,Ceratina_shinnersi,Chlosyne_gorgone,Coelioxys_edita,Coelioxys_rufitarsis,Coelioxys_texana,Colias_eurytheme,Colletes_birkmanni,Colletes_mandibularis,Danaus_plexippus,Danus_gilippus,Diadasia_enavata,Diadasia_rinconis,Dianthidium_curvatum,Dianthidium_texanum,Echinargus_isola,Eucera_hamata,Euptoieta_claudia,Eurema_Mexicana,Euristrymon_ontario,Flarilegus_condignus,Halictus_ligatus,Halictus_tripartitus,Harrisina_americana,Heriades_carinata,Heriades_variolosa,Hesperapis_infuscata,Hoplitis_pilosifrons,Hoplitis_producta,Hylaeus_modestus,Hylephila_phyleus,Hyles_lineata,Junonia_coenia,Lasioglossum_(Hemihalictus)_sp_TX1,Lasioglossum_bardum,Lasioglossum_bruneri,Lasioglossum_callidum,Lasioglossum_coactum,Lasioglossum_connexum,Lasioglossum_coreopsis,Lasioglossum_disparile,Lasioglossum_imitatum,Lasioglossum_lustrans,Lasioglossum_spTX17,Lasioglossum_spTX20,Lasioglossum_spTX3,Lerema_accius,Lerodea_eufala,Libytheana_carinenta,Lithurgus_gibbosus,Megachile_brevis,Megachile_casadae,Megachile_comata,Megachile_fortis,Megachile_gentilis,Megachile_inimica,Megachile_montivaga,Megachile_parallela,Megachile_policaris,Megachile_prosopidis,Megachile_pugnata,Megachile_texana,Megalographa_biloba,Melissodes_coreopsis,Melissodes_tepaneca,Melissoptila_otomita,Nathalis_iole,Nomia_nortoni,Nomophila_nearctica,Osmia_subfasciata,Osmia_texana,Panurginus_polytrichus,Papilio_polyxenes,Perdita_coreopsidis,Phyciodes_tharos,Plutella_xylostella,Polygonia_interrogationis,Pontia_protodice,Pseudopanurgus_texanus,Pterosarus_albitarsis,Pterosarus_ornatipes,Pyrgus_communis/albescens,Pyrisitia_lisa,Sphecodes_sp_5,Stelis_diversicolor,Strymon_melinus,Svastra_cressonii,Svastra_obliqua,Svastra_petulca,Svastra_sabinensis_laterufa,Tetraloniella_albata,Trichoplusia_ni,Triepeolus_cressonii,Triepeolus_sp,Unidentified_large_moth,Unidentified_long_brown_moth,Unidentified_medium_Moth,Unidentified_small_moth,Unidentified_tiny_black_moth,Vanessa_atalanta,Vanessa_cardui,Vanessa_virginiensis,Xylocopa_virginica
burn1xyear,freqmanag,freqmanag,5.04,grazing,managed,Loamy,grazing,Balcones_Canyonlands_NWR_T1_Y2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
burn1xyear,freqmanag,freqmanag,4.26,grazing,managed,Loamy,grazing,Balcones_Canyonlands_NWR_T2_Y2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burn1xyear,freqmanag,freqmanag,4.26,grazing,managed,Loamy,grazing,Balcones_Canyonlands_NWR_T3_Y2012,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burn1xyear,freqmanag,freqmanag,4.26,grazing,managed,Loamy,grazing,Balcones_Canyonlands_NWR_T4_Y2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
burn1xyear,freqmanag,freqmanag,4.26,grazing,managed,Loamy,grazing,Balcones_Canyonlands_NWR_T5_Y2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seed1xdecade,manage,none,24.46,grazing,seed,Loamy,grazing,Barton_Creek_Habitat_Preserve_T1_Y2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,3,0,0,2
none,none,none,24.46,farmturf,none,Loamy,farmed,Barton_Creek_Habitat_Preserve_T2_Y2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
burn1xdecade,manage,none,5.7,grazing,managed,Clay,grazing,Barton_Creek_Habitat_Preserve_T3_Y2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0
burn1xdecade,manage,none,5.7,grazing,managed,Clay,grazing,Barton_Creek_Habitat_Preserve_T4_Y2012,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12
burn1xdecade,manage,none,5.7,grazing,managed,Clay,grazing,Barton_Creek_Habitat_Preserve_T5_Y2012,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,8
